Land,Mystic,Charles and neponset,Weir,Islands
NWI marine wetlands,1298.8,671.41,3990.23,583.86
Salt marsh,46.8,108.44,255.73,11.72
Freshwater Wetland,94.3,40.8,99.92,11.18
City parks,1214.7,4217.98,790.6,5.69
Beach,35.25,40.54,137.04,0.34
Freshwater,786.24,752.14,33.22,0
Oyster bed,0,0,104.69,0
Estuary,86.48,115.2,113.75,0
Tidal flat,6.68,5.6,10,5.6
Forest,9574.3,54864.48,5763.51,198.98
Grassland/openland,491.03,1631.93,522.45,73.9
Core habitats,1822.92,18031.26,5736.91,72.6
Coastal waters,5985.33,2800.69,10167.73,9109.77